Nom_site,Code_FR,Master_ID,Ip_lan,Role_routeur,Ip_loopback,Pack_qos,routes_statiques,Ip_wan
SARPI ECOVALOR Pont Ste Maxence,hostFR01782,3184820,10.235.32.5,Master,77.155.76.20,Policy Map GEN_QOS_D2DA_M,Gateway :86.79.14.245|Route 1:77.136.162.0/24 [1/0] via 86.79.14.245|Route 2:77.155.76.19/32 [250/0] via 10.235.32.6|Route 3:80.118.206.0 [1/0] via 86.79.14.245,86.79.14.246,
SARPI ECOVALOR Pont Ste Maxence,hostSec_FR01782,3184820,10.235.32.6
Harnes,hostFR01911,3373539,10.234.88.252,Master,77.155.62.106,Policy Map SHAPER_4608K_GEN_QOS_D2DA,Gateway :212.30.97.108|Route 1:0.0.0.0/0 [1/0] via 212.30.97.108|Route 2:77.136.162.0/24 [1/0] via 212.30.97.108|Route 3:77.155.62.105/32 [250/0] via 10.234.88.253|Route 4:80.118.206.0 [1/0] via 212.30.97.108,86.79.13.234,
Harnes,hostSec_FR01911,3373539,10.234.88.252,Master,77.155.62.106,Policy Map SHAPER_4608K_GEN_QOS_D2DA,Gateway :212.30.97.108|Route 1:0.0.0.0/0 [1/0] via 212.30.97.108|Route 2:77.136.162.0/24 [1/0] via 212.30.97.108|Route 3:77.155.62.105/32 [250/0] via 10.234.88.253|Route 4:80.118.206.0 [1/0] via 212.30.97.108,86.79.13.234,
PLOUFRAGAN,hostFR01813,3123099,10.200.40.7,No status,77.155.31.142,Policy Map GEN_QOS_D2DA_M,Gateway :212.30.97.108|Route 1:0.0.0.0/0 [1/0] via 212.30.97.108,86.79.11.47,
Ecquevilly TELEREP France,hostFR01890,3373534,10.234.4.252,MASTER,77.155.133.145,Policy Map GEN_QOS_D2DA_M,Gateway :212.30.97.108|Route 1:0.0.0.0/0 [1/0] via 212.30.97.108|Route 2:77.136.162.0/24 [1/0] via 212.30.97.108|Route 3:77.155.133.146/32 [250/0] via 10.234.4.253|Route 4:80.118.206.0 [1/0] via 212.30.97.108,86.79.16.145,
Ecquevilly TELEREP France,hostSec_FR01890,3373534,10.234.4.253,BACKUP,77.155.133.146,Policy Map GEN_QOS_D2DA_S,Gateway :86.79.191.254|Route 1:0.0.0.0/0 [1/0] via 86.79.191.254|Route 2:77.155.133.145 [250/0] via 10.234.4.252,86.79.129.157,
DR ARRAS,hostFR00610,5726276,10.161.252.188,BACKUP,77.142.31.79,Policy Map SHAPER_10M_GEN_QOS_XVD2DAE,Gateway :86.79.27.233|Route 1:86.79.27.230/32 [1/0] via 86.79.27.225,86.79.27.234,
DR ARRAS,hostSec_FR00610,5726276,10.161.252.189,MASTER,77.142.31.78,Policy Map SHAPER_10M_GEN_QOS_XVD2DAE,Gateway :86.79.27.233|Route 1:86.79.27.232/30 [1/0] via 86.79.27.226,86.79.27.230,
CHATEAU D OLONNE,hostFR00721,8106468,10.200.15.7,No status,109.4.199.156,Policy Map GEN_QOS_D2DA_M,Gateway :86.79.24.69|Route 1:0.0.0.0/0 [1/0] via 86.79.24.69,86.79.24.70,
